var	MI	PCI	CA
BETA.(Intercept)	-8.39938331848167	-8.75584440231366	-8.49559165458446
BETA.AGE	0.0665480800369769	0.0610246112637404	0.0552200729406093
BETA.WOM	0.0403724571524167	0.177318388732074	0.0990461284467431
BETA.HTN	-0.423642738644662	-0.37376088494244	-0.51379909274955
BETA.DIAB	0.334669292900301	0.182961264269081	0.336176583760271
BETA.CATHLAB	-0.216373858126809	1.05156734040466	1.10534371378738
BETA.CORSURG	0.117361983023558	-0.119264958391271	0.142182663649203
BETA.UNIVERSI	-0.0374671107092088	0.244756566627823	0.117714111925329
BETA.GROSS	0.0372189359548632	0	0
BETA.CVMORT	0.000433530587866094	0	0
SE.(Intercept)	1.5979452605237	0.591206907442649	0.533284241972918
SE.AGE	0.00355454885840079	0.00593420648549687	0.00524038645570073
SE.WOM	0.0780647693692772	0.133967715507976	0.119135306934389
SE.HTN	0.0835162522876464	0.145822927767012	0.125819745517639
SE.DIAB	0.0841093491350785	0.148364378326992	0.124722497327544
SE.CATHLAB	0.192714913192566	0.395746725980538	0.342409671662529
SE.CORSURG	0.155637665298593	0.20253228863373	0.19899560827606
SE.UNIVERSI	0.148463615559855	0.197669970782088	0.191529988245836
SE.GROSS	0.0382473597920104	0	0
SE.CVMORT	0.00398979297840331	0	0
FINLAND	-0.094671449124915	0.203351571032151	0.261641872339001
FRANCE	0.0257637821115076	0.218194040967821	0.214729754102861
GERMANY	0.406007144294004	0.520670895187664	0.590644287217345
GREECE	-0.48076360217672	-0.943670213654639	-1.09018221652795
ITALY	0.217257918257769	0.408239623068831	0.0879193717234903
PORTUGAL	0.475792523329692	0.333975442172706	0.648029973214954
SPAIN	-0.406138794920734	-0.463168446923296	-0.412479885416277
var.country	0.145213246584972	0.304319126301446	0.379178730303857
var.hosp	0.11546659828672	0.119840663304016	0.150504751658311
AUC	0.761880660018471	0.767053592716548	0.763512531606275
AUC.lower	0.746365316868885	0.739299980850995	0.739173954470799
AUC.upper	0.777396003168057	0.7948072045821	0.787851108741751
