id,Sexe,Perfil,Districte de residŠncia,Edat,satisfacinf,nivellqualitat,aspectmillora,nivellalumnat,sisteducatiu,iniciativapubresultats,instrprovesexternes
97,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,4,4,4,4,3,3
98,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,2,1,1,1,4,1,2
99,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,4,3,3,3,4,3
100,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,4,4,4,4,2,3
101,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,1,3,2,3,1,3
102,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,1,1,2,2,2,2
103,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres municipis,Entre 35 i 55 anys,,1,2,2,3,1,2
104,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,1,2,2,1,1,2
105,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,3,3,3,2,2,3
106,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,3,3,4,3,2,2,3
107,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,3,2,3,3,3,3
108,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,3,3,3,3,1,3
109,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,3,3,3,3,4,3
110,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,3,3,3,2,1,2
111,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres municipis,Entre 35 i 55 anys,3,3,3,3,3,1,2
112,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres municipis,Entre 35 i 55 anys,,1,2,3,1,1,3
113,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,2,3,3,2,1,3
114,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,3,3,2,2,1,3
115,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,3,3,3,3,1,3
116,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,1,2,2,2,1,3
117,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,2,2,1,2,2,2
118,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,2,2,2,1,1,2
119,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,2,3,2,1,3,3
120,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,2,3,2,2,1,3
121,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,2,3,3,1,1,3,2
122,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,1,1,1,4,1,2
123,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,3,4,3,2,3,3
124,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,Entre 35 i 55 anys,1,3,3,3,2,1,3
125,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,1,3,3,1,1,2
126,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,Menys de 35 anys,,3,4,4,2,2,1
127,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,3,3,3,1,4,2
128,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,Entre 35 i 55 anys,2,2,3,3,1,2,3
129,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,Menys de 35 anys,,2,3,2,1,1,3
130,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,1,1,1,1,1,2
131,Dona,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,2,2,3,1,1,3
