id,Sexe,Perfil,Districte de residŠncia,Edat,satisfacinf,nivellqualitat,aspectmillora,nivellalumnat,sisteducatiu,iniciativapubresultats,instrprovesexternes
174,Dona,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,2,2,2,3,1,2
175,Dona,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres districtes de Barcelona,M‚s de 55 anys,,1,2,2,4,1,2
176,Dona,Mestre/a d?educaci¢ prim…ria o secund…ria,Gr…cia,M‚s de 55 anys,,2,2,1,3,2,2
177,Dona,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres municipis,Entre 35 i 55 anys,,3,2,3,1,4,2
178,Dona,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,3,3,3,3,3,3
179,Dona,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres municipis,Entre 35 i 55 anys,,4,4,2,2,2,1
180,Dona,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres districtes de Barcelona,M‚s de 55 anys,,2,2,1,1,1,2
181,Dona,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres municipis,M‚s de 55 anys,,4,4,4,4,2,3
182,Dona,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,3,3,3,2,2,3
183,Dona,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres districtes de Barcelona,M‚s de 55 anys,,1,1,1,1,1,2
184,Dona,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres municipis,Entre 35 i 55 anys,,2,2,2,1,2,3
185,Dona,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres municipis,Entre 35 i 55 anys,,2,2,2,2,1,3
186,Dona,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,1,3,2,2,1,2
187,Dona,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres districtes de Barcelona,M‚s de 55 anys,,3,3,2,2,2,3
188,Dona,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres municipis,Entre 35 i 55 anys,,3,3,3,2,2,3
189,Dona,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres municipis,Entre 35 i 55 anys,,1,2,2,2,1,2
190,Dona,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres municipis,M‚s de 55 anys,,3,4,3,1,1,3
191,Dona,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,1,2,2,1,1,3
192,Dona,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres municipis,Entre 35 i 55 anys,,1,2,2,1,1,3
193,Dona,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres municipis,Entre 35 i 55 anys,,1,1,1,1,1,2
194,Dona,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres districtes de Barcelona,M‚s de 55 anys,,2,3,2,2,1,2
195,Dona,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,3,2,2,2,2,3
196,Dona,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres municipis,Entre 35 i 55 anys,,2,2,2,4,1,3
197,Dona,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres districtes de Barcelona,Menys de 35 anys,,1,1,1,1,1,2
198,Dona,Mestre/a d?educaci¢ prim…ria o secund…ria,Altres districtes de Barcelona,Menys de 35 anys,,2,2,3,2,2,1
199,Dona,Mestre/a d?educaci¢ prim…ria o secund…ria,Gr…cia,Menys de 35 anys,,1,1,1,1,1,2
200,Dona,Ambdues,Gr…cia,Entre 35 i 55 anys,,1,2,1,2,1,2
201,Dona,Ambdues,Gr…cia,Entre 35 i 55 anys,,1,2,2,2,1,2
202,Dona,Ambdues,Altres municipis,Entre 35 i 55 anys,,2,2,2,2,2,3
